"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","0","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","0.800714315271354","","","","","","","","","","","",
"Afghanistan","AFG","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","0","7863.01125754233","7819.39101553867","6672.29277936904","6960.20418686002","7378.03187215216","7836.12850789409","7954.04604248992","7781.35070075063","7719.36964877497","7541.70759487038","7450.49920182585","7393.5964492184","7327.15480749692","6857.47778079772","5970.79200504094","5302.55350034922","4394.66279561972","4760.68837451691","5054.15335086859","4962.39546488438","5028.30634805066","5009.47623334536","5048.46532289387","5104.86730876353","5278.86828168414","5483.15431130012","6179.10962379938","6737.50950318242","7166.60461859804","7694.99016574362","6682.43473924217","5847.50895952051","6883.41286882717","7101.86347931727","7071.35699143803","7070.67423653668","7054.13923095388","7045.15048586244","7032.24854369754","","","","","","","","","","","",
"Angola","AGO","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","0","16809.3646583506","8003.66998264693","8901.29502175797","9776.05106909365","8063.48261362498","10215.4571108885","8601.50200297025","10360.9808112093","11075.2790184003","15643.852202411","12320.0300028548","10226.8808849115","11974.2228363661","11795.2715753706","8215.21963978062","8459.72654472738","8072.50210663004","12456.9002027543","7476.43552901303","8892.39921349556","13996.9429340727","10896.245153891","19738.7113938957","9052.02929628293","11415.4210918335","11862.3352952705","9786.27147395129","3445.55636093393","3727.08547608393","3709.15133541859","3884.89504715577","3934.40761013663","3975.24016732253","3987.53013359486","3915.85849019646","3902.78583830356","4035.37353012348","3926.73503956846","3982.49818712649","","","","","","","","","","","",
"Albania","ALB","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","0","987.191107119701","948.327697567786","930.32189578139","960.894311051895","985.79482840073","1001.58657038062","1062.27633600076","1100.95609817796","1168.08900088344","1217.12891970594","1257.07006043196","1279.98809344932","1291.02228888658","1315.62570241991","1313.61055893156","1262.19843017312","1332.29726738406","1456.88468392541","1542.89588146858","1593.21866457462","1551.13056758306","1540.3008961777","1521.58167138652","1622.41463185022","2027.58984052955","2090.7506126605","1950.37042500828","1810.17842130818","1716.05078270081","1768.80399515297","1794.78684326134","1765.63202442313","1731.39014810201","1755.94433136929","1701.34309369966","1703.13048419951","1673.55546487801","1658.30116030339","1635.9648173238","","","","","","","","","","","",
"Andorra","AND","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",
"Arab World","ARB","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","","67524.8568911044","67608.8126170331","67043.0200808415","68402.7803539371","64192.0191463804","67332.7759417764","68229.0555693084","71746.9185204675","70371.3546233934","73346.421849292","79338.03796691","76689.6493233753","80892.2072448862","79066.8080541399","78805.8117055567","77244.2026544569","76837.8043422436","79198.6067216927","77843.8203150323","81433.1802017439","87159.0770258351","80673.9488822728","87335.5419979284","88704.3791814817","91107.6910379864","94487.9907202032","95677.9985065193","99360.1103602272","100121.378128951","106316.809604557","107809.113323771","108550.364249435","111751.795842443","112022.914355553","113674.47004387","118138.365908408","134261.456130875","174123.797987205","150808.645449482","","","","","","","","","","","",
"United Arab Emirates","ARE","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","0","157.036315651547","162.538385957483","161.787540389528","177.150239760682","163.024597842746","134.857113196572","86.8880215914265","106.751856946656","126.441907179737","126.571964259459","139.724777811372","145.616460811384","155.15536769366","167.453028085301","179.387994573103","191.838299663428","208.792089519281","223.095489725371","237.47602126177","248.999122828222","266.338663322587","284.899130797077","304.761475225039","325.944275088152","349.581516359651","373.881255139125","401.045132058365","428.409995529262","454.517229155477","485.828240646836","518.087717571293","548.457254978415","578.818699047412","610.375933530142","603.651380618079","604.752003970906","601.942266346261","601.084935544818","599.253292412472","","","","","","","","","","","",
"Argentina","ARG","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","0","70090.7091763908","71391.9188749353","74545.7794196971","77497.3737199219","77495.4944007213","79162.96299686","81324.5539251071","84699.3915759325","80597.9433417915","79536.5249439895","78082.190635677","76166.2721767302","74180.0409683456","75447.800129291","76118.5104175924","75307.5900632919","74253.785554589","73259.0443434888","75509.3988696058","77006.2425885349","78230.6144271227","76797.3941062079","77315.1961122756","75664.3376902872","75654.7650918828","74557.108261637","72704.1390148937","72126.2294583104","70173.3925003607","72228.4263659779","71641.1790208767","71274.5824002971","69524.1620660246","72728.120707294","72219.6951346629","71860.2642061358","71811.1095497093","71903.2287446812","71924.3895680401","","","","","","","","","","","",
"Armenia","ARM","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","0","970.283514113803","1017.11993747443","1047.95545323249","1067.60715050919","1099.74764636568","1129.59255003819","1130.8578560869","1134.35652339882","1156.88300357916","1171.21197237663","1179.22627744092","1177.06629951797","1192.5282575228","1217.68387334069","1248.17137480333","1265.05447869224","1260.84766424704","1274.28872403106","1248.01673212033","1260.79102843841","1250.51354461573","1204.8432799843","1143.69269471083","1003.01666340349","985.370045134129","972.319061699198","967.055886299911","948.099959281156","887.982858850087","893.173921570841","903.204216531209","930.905938118555","968.202947298341","1009.50254092884","1074.99973444053","1086.09416554462","1117.23320983592","1136.56686573217","1161.68732307506","","","","","","","","","","","",
"American Samoa","ASM","Agricultural methane emissions (thousand metric tons of CO2 equivalent)","EN.ATM.METH.AG.KT.CE","","","","","","","","","","0","2.90072225940909","2.86016579706466","2.84547428222217","2.85279942026897","2.87233953454335","2.89237578656634","2.90711066352799","2.98795715670531","2.95833181287848","2.91636654582077","2.91974798251152","2.97041607056813","3.11092618285722","3.25113501599936","3.3866345520401","3.46795930129006","3.52220281722871","3.60355173215449","3.6578189097048","3.75356098809878","2.98083306464773","2.98102241844876","2.98121177014953","2.98470694471689","2.98489629641766","2.98487562411648","2.98487562411648","2.98487562411648","2.98487562411648","2.98487562411648","2.98487562411648","2.98487562411648","2.98487562411648","2.98487562411648","2.98487562411648","2.98487562411648","2.98487590849268","2.98488290091268","2.98488290091268","","","","","","","","","","","",
